ID1             ID2                           P3              P4              P5              P6              P7              P8              P9             P10       OR3       OR4       OR5       OR6       OR7       OR8       OR9      OR10
DQA1*02:01      DQB1*02:02                NA      0.0950      0.9579          NA          NA      0.0024    2.80e-13    1.71e-20      1.41      2.53      1.14      2.05      1.24      2.88       291       521
DQA1*02:01      DRB1*07:01                NA          NA          NA          NA         nan    8.40e-04    6.93e-21    6.52e-31      1.36      2.05      1.36      2.05      1.00      2.79      8325     12485
DQA1*02:01      DRB1*11:01            0.6648      0.0019      0.2097      0.0406    1.55e-04      0.9979      0.6464      0.7890      2.79      2.78      0.29      0.29      9.69      0.80      1.06      1.05
DQA1*02:01      DRB5*01:01            0.7138    6.91e-04      0.9784      0.1256      0.6127      0.1495      0.2778      0.7856      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DQA1*02:01      DRB5*01:02            0.6084    5.14e-04      0.3398      0.8946      0.2101      0.8147      0.8410      0.7169      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DQB1*02:02      DRB1*07:01            0.9579          NA          NA      0.0950          NA      0.0024    2.80e-13    1.71e-20      1.14      2.05      1.41      2.53      0.81      2.88       291       521
DQB1*02:02      DRB1*11:01            0.7243      0.0263      0.6321      0.0169    3.11e-04      0.6830      0.9737      0.1980      5.67      2.25      0.70      0.28      8.12      1.57      0.77      0.31
DQB1*02:02      DRB5*01:01            0.9372      0.0039      0.6757      0.1300      0.6652      0.4221      0.4701      0.7111      1.40      2.89      1.00      2.07      1.40      2.89      0.56      1.15
DQB1*02:02      DRB5*01:02            0.6084      0.0029      0.3224      0.8141      0.1956      0.7662      0.6484      0.4034      0.60      2.86      0.13      0.61      4.71      0.36      0.78      3.73
DRB1*07:01      DRB5*01:01            0.7138    6.91e-04      0.9784      0.1256      0.6127      0.1495      0.2778      0.7856      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DRB1*07:01      DRB5*01:02            0.6084    5.14e-04      0.3398      0.8946      0.2101      0.8147      0.8410      0.7169      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DRB1*11:01      DRB5*01:01            0.9531      0.0106      0.9787      0.3277      0.0048      0.7625      0.6539      0.8409      0.52      0.26      3.27      1.61      0.16      0.84      1.56      0.77
DRB1*11:01      DRB5*01:02            0.2703      0.0080      0.3492      0.3588      1.0000      0.9016      0.0481      0.6790      1.22      0.27      1.55      0.35      0.79      0.42      5.24      1.17
