ID1,ID2,P7,P8,P9,P10
DQA1*01:03,DQB1*02:02,0.0012,0.6397,0.7176,0.2450
DQA1*01:03,DQB1*ID1,0.6283,0.1326,0.7171,0.1516
DQA1*01:03,DRB1*07:01,5.97e-04,1.0000,0.3055,0.1954
DQA1*01:03,DRB1*11:01,0.5554,0.2494,1.0000,0.1946
DQA1*01:03,DRB5*01:01,0.0199,0.1807,0.6839,0.0420
DQA1*01:03,DRB5*01:02,1.0000,0.4042,0.1087,0.0021
DQA1*02:01,DQB1*02:02,1.0000,0.0019,2.52e-15,1.62e-17
DQA1*02:01,DQB1*ID1,3.67e-04,0.3369,0.0935,0.0092
DQA1*02:01,DRB1*07:01,1.0000,8.66e-04,1.40e-26,1.80e-29
DQA1*02:01,DRB1*11:01,6.15e-05,1.0000,1.0000,1.0000
DQA1*02:01,DRB5*01:01,0.4811,0.0791,0.2622,0.7357
DQA1*02:01,DRB5*01:02,0.1577,1.0000,1.0000,0.3267
DQB1*02:02,DRB1*07:01,1.0000,0.0019,2.52e-15,1.62e-17
DQB1*02:02,DRB1*11:01,1.09e-04,1.0000,1.0000,0.1997
DQB1*02:02,DRB5*01:01,0.6154,0.3345,0.3786,1.0000
DQB1*02:02,DRB5*01:02,0.1501,0.5427,1.0000,0.1877
DQB1*ID1,DRB1*07:01,3.67e-04,0.3369,0.0935,0.0092
DQB1*ID1,DRB1*11:01,0.6486,0.0043,0.0156,7.12e-07
DQB1*ID1,DRB5*01:01,0.0274,1.0000,0.5479,0.2794
DQB1*ID1,DRB5*01:02,1.0000,0.5011,1.0000,1.0000
DRB1*07:01,DRB5*01:01,0.4811,0.0791,0.2622,0.7357
DRB1*07:01,DRB5*01:02,0.1577,1.0000,1.0000,0.3267
DRB1*11:01,DRB5*01:01,0.0041,1.0000,1.0000,0.7374
DRB1*11:01,DRB5*01:02,1.0000,1.0000,1.0000,1.0000
