ID1,ID2,P7,P8,P9,P10
DQA1*02:01:01,DQB1*02:02:01,NA,0.0024,2.80e-13,1.71e-20
DQA1*02:01:01,DRB1*07:01:01,nan,8.40e-04,6.93e-21,6.52e-31
DQA1*02:01:01,DRB1*11:01:01,3.47e-04,0.9793,0.9098,0.8797
DQA1*02:01:01,DRB5*01:01:01,0.6127,0.1495,0.2778,0.7856
DQA1*02:01:01,DRB5*01:02,0.2101,0.8147,0.8410,0.7169
DQB1*02:02:01,DRB1*07:01:01,NA,0.0024,2.80e-13,1.71e-20
DQB1*02:02:01,DRB1*11:01:01,5.49e-04,0.6947,0.7143,0.3137
DQB1*02:02:01,DRB5*01:01:01,0.6652,0.4221,0.4701,0.7111
DQB1*02:02:01,DRB5*01:02,0.1956,0.7662,0.6484,0.4034
DRB1*07:01:01,DRB5*01:01:01,0.6127,0.1495,0.2778,0.7856
DRB1*07:01:01,DRB5*01:02,0.2101,0.8147,0.8410,0.7169
DRB1*11:01:01,DRB5*01:01:01,0.0065,0.7460,0.7919,0.9146
DRB1*11:01:01,DRB5*01:02,0.5632,0.8919,0.0244,0.6116
