ID1             ID2                           P3              P4              P5              P6              P7              P8              P9             P10       OR3       OR4       OR5       OR6       OR7       OR8       OR9      OR10
DQA1*01:03:01   DQB1*02:02:01         1.0000      0.0819      0.2454      0.0211      0.0012      0.6397      0.7176      0.2450      0.69      0.46      3.47      2.34      0.20      1.61      0.66      0.45
DQA1*01:03:01   DQB1*ID1              1.0000      0.0131      1.0000      0.0099      0.6283      0.1326      0.7171      0.1516      0.83      0.33      1.11      0.44      0.75      0.37      1.33      0.54
DQA1*01:03:01   DRB1*07:01:01         0.6423      0.1619      0.5801      0.0027    5.97e-04      1.0000      0.3055      0.1954      0.49      0.54      2.39      2.61      0.21      1.29      0.39      0.43
DQA1*01:03:01   DRB1*11:01:01         1.0000      0.0290      0.5638      0.0121      0.5371      0.2514      1.0000      0.4060      0.62      0.42      0.39      0.27      1.60      0.16      0.83      0.57
DQA1*01:03:01   DRB5*01:01:01         0.4839      0.0162      0.0549      0.5472      0.0199      0.1807      0.6839      0.0420      5.34      0.37     18.53      1.29      0.29      6.90      1.39      0.10
DQA1*01:03:01   DRB5*01:02            1.0000      0.0617      1.0000      1.0000      1.0000      0.4042      0.1087      0.0021      0.82      0.47      0.76      0.44      1.08      0.36     26.05     15.01
DQA1*02:01:01   DQB1*02:02:01         1.0000      0.0690      1.0000      1.0000      1.0000      0.0019    2.52e-15    1.62e-17      1.41      2.53      1.14      2.05      1.24      2.88       291       521
DQA1*02:01:01   DQB1*ID1              0.0749      0.0170      1.0000      0.1332    3.67e-04      0.3369      0.0935      0.0092      3.35      2.30      0.84      0.58      3.97      1.94      0.42      0.29
DQA1*02:01:01   DRB1*07:01:01         1.0000      1.0000      1.0000      1.0000      1.0000    8.66e-04    1.40e-26    1.80e-29      1.36      2.05      1.36      2.05      1.00      2.79      8325     12485
DQA1*02:01:01   DRB1*11:01:01         0.2870    9.57e-04      0.1222      0.0361    1.28e-04      1.0000      1.0000      0.7684      3.18      2.85      0.29      0.26     11.04      0.82      1.51      1.35
DQA1*02:01:01   DRB5*01:01:01         0.6539    6.66e-04      1.0000      0.1049      0.4811      0.0791      0.2622      0.7357      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DQA1*02:01:01   DRB5*01:02            1.0000    4.28e-04      0.1741      1.0000      0.1577      1.0000      1.0000      0.3267      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DQB1*02:02:01   DRB1*07:01:01         1.0000      1.0000      1.0000      0.0690      1.0000      0.0019    2.52e-15    1.62e-17      1.14      2.05      1.41      2.53      0.81      2.88       291       521
DQB1*02:02:01   DRB1*11:01:01         0.2892      0.0162      1.0000      0.0123    2.49e-04      1.0000      1.0000      0.3081      6.14      2.30      0.70      0.26      8.80      1.61      1.01      0.38
DQB1*02:02:01   DRB5*01:01:01         1.0000      0.0035      1.0000      0.1190      0.6154      0.3345      0.3786      1.0000      1.40      2.89      1.00      2.07      1.40      2.89      0.56      1.15
DQB1*02:02:01   DRB5*01:02            1.0000      0.0020      0.1652      0.6591      0.1501      0.5427      1.0000      0.1877      0.60      2.86      0.13      0.61      4.71      0.36      0.78      3.73
DQB1*ID1        DRB1*07:01:01         1.0000      0.1332      0.0749      0.0170    3.67e-04      0.3369      0.0935      0.0092      0.84      0.58      3.35      2.30      0.25      1.94      0.42      0.29
DQB1*ID1        DRB1*11:01:01         1.0000      0.1656      0.0978      0.3792      0.6549      0.0080      0.0531    2.75e-05      0.57      0.64      0.35      0.39      1.63      0.22      7.33      8.27
DQB1*ID1        DRB5*01:01:01         0.6851      0.0495      0.4172      0.3750      0.0274      1.0000      0.5479      0.2794      0.66      0.52      1.94      1.53      0.34      1.02      0.67      0.53
DQB1*ID1        DRB5*01:02            1.0000      0.0325      1.0000      0.3792      1.0000      0.5011      1.0000      1.0000      0.60      0.52      0.45      0.39      1.32      0.24      0.92      0.80
DRB1*07:01:01   DRB5*01:01:01         0.6539    6.66e-04      1.0000      0.1049      0.4811      0.0791      0.2622      0.7357      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DRB1*07:01:01   DRB5*01:02            1.0000    4.28e-04      0.1741      1.0000      0.1577      1.0000      1.0000      0.3267      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DRB1*11:01:01   DRB5*01:01:01         0.5996      0.0108      0.4077      0.2243      0.0033      1.0000      0.5408      1.0000      0.52      0.25      3.51      1.65      0.15      0.86      2.03      0.95
DRB1*11:01:01   DRB5*01:02            1.0000      0.0089      1.0000      0.2419      1.0000      1.0000      1.0000      1.0000      1.22      0.27      1.59      0.35      0.77      0.43      6.48      1.44
