ID1	ID2	P3	P4	P5	P6	P7	P8	P9	P10
DQA1*02:01:01	DQB1*02:02:01	0	0	0	0	0	1	1	1
DQA1*02:01:01	DRB1*07:01:01	0	0	0	0	0	1	1	1
DQA1*02:01:01	DRB1*11:01:01	0	1	0	0	1	0	0	0
DQA1*02:01:01	DRB5*01:01:01	0	1	0	0	0	0	0	0
DQA1*02:01:01	DRB5*01:02	0	1	0	0	0	0	0	0
DQB1*02:02:01	DRB1*07:01:01	0	0	0	0	0	1	1	1
DQB1*02:02:01	DRB1*11:01:01	0	1	0	1	1	0	0	0
DQB1*02:02:01	DRB5*01:01:01	0	1	0	0	0	0	0	0
DQB1*02:02:01	DRB5*01:02	0	1	0	0	0	0	0	0
DRB1*07:01:01	DRB5*01:01:01	0	1	0	0	0	0	0	0
DRB1*07:01:01	DRB5*01:02	0	1	0	0	0	0	0	0
DRB1*11:01:01	DRB5*01:01:01	0	1	0	0	1	0	0	0
DRB1*11:01:01	DRB5*01:02	0	1	0	0	0	0	1	0
